bodyPart,equipment,gifUrl,name,target
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0579.gif,lever front pulldown,lats
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0580.gif,lever gripless shrug,traps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1439.gif,lever gripless shrug v. 2,traps
lower arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2288.gif,lever gripper hands ,forearms
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1615.gif,lever hammer grip preacher curl,biceps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0581.gif,lever high row ,upper back
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2286.gif,lever hip extension v. 2,glutes
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2611.gif,lever horizontal one leg press,glutes
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1299.gif,lever incline chest press,pectorals
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1479.gif,lever incline chest press v. 2,pectorals
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0582.gif,lever kneeling leg curl ,hamstrings
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0583.gif,lever kneeling twist,abs
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0584.gif,lever lateral raise,delts
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0585.gif,lever leg extension,quads
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0586.gif,lever lying leg curl,hamstrings
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/3195.gif,lever lying two-one leg curl,hamstrings
